"id","fecha","activo","precio","volumen","cambio","sector"
1,"2024-05-30","AAPL","556.23",10268,"4.16","Tech"
2,"2024-01-30","AAPL","535.81",1920,"4.45","Auto"
3,"2024-06-11","GOOG","675.05",6247,"-3.73","Tech"
4,"2024-06-07","AMZN","874.02",1113,"-0.22","Tech"
5,"2024-04-25","GOOG","323.46",7587,"4.28","Tech"
6,"2024-06-11","TSLA","759.58",8714,"-1.76","Retail"
7,"2024-02-11","AAPL","297.67",9726,"-3.01","Retail"
8,"2024-03-10","AMZN","725.27",3324,"3.99","Tech"
9,"2024-04-05","MSFT","154.90",10566,"-4.74","Retail"
10,"2024-02-01","TSLA","685.49",9651,"-4.90","Auto"
11,"2024-04-07","AAPL","124.40",1259,"3.74","Retail"
12,"2024-02-02","AMZN","210.48",7962,"-3.15","Retail"
13,"2024-04-14","GOOG","791.47",2931,"-4.49","Tech"
14,"2024-02-08","GOOG","285.79",2903,"4.66","Auto"
15,"2024-03-10","TSLA","493.05",10090,"-1.48","Auto"
16,"2024-06-19","AAPL","749.49",7866,"0.48","Tech"
17,"2024-05-06","GOOG","497.89",10387,"-1.88","Tech"
18,"2024-01-24","MSFT","126.64",9599,"-1.17","Auto"
19,"2024-05-22","GOOG","584.52",2869,"-4.60","Auto"
20,"2024-01-25","AAPL","863.86",10560,"3.68","Auto"
21,"2024-02-06","MSFT","542.70",7258,"-3.50","Tech"
22,"2024-01-15","AMZN","161.43",9601,"3.88","Tech"
23,"2024-02-15","MSFT","728.25",9495,"-2.87","Retail"
24,"2024-01-09","TSLA","870.35",3220,"-4.17","Auto"
25,"2024-05-06","GOOG","536.38",5953,"0.44","Auto"
26,"2024-02-25","GOOG","596.43",3579,"0.10","Auto"
27,"2024-05-29","TSLA","568.24",7041,"1.53","Auto"
28,"2024-06-18","MSFT","309.76",3759,"1.92","Tech"
29,"2024-04-05","AMZN","581.52",5184,"-2.86","Tech"
30,"2024-03-15","AAPL","618.58",8912,"1.11","Retail"
31,"2024-03-31","AMZN","668.92",8913,"-2.26","Auto"
32,"2024-02-24","GOOG","727.94",4333,"3.54","Auto"
33,"2024-02-10","TSLA","508.27",1897,"0.67","Auto"
34,"2024-04-28","AAPL","853.73",10003,"1.35","Auto"
35,"2024-04-12","GOOG","351.79",1196,"-4.69","Retail"
36,"2024-05-30","TSLA","687.37",6475,"-2.28","Auto"
37,"2024-05-06","MSFT","333.02",2468,"-1.57","Retail"
38,"2024-03-12","MSFT","267.08",6308,"-3.41","Auto"
39,"2024-03-11","MSFT","457.02",6578,"-0.06","Auto"
40,"2024-06-04","AMZN","153.67",10990,"-2.33","Auto"
41,"2024-05-04","GOOG","740.59",2986,"-4.83","Retail"
42,"2024-03-18","TSLA","688.46",8098,"-0.62","Retail"
43,"2024-02-05","MSFT","436.08",10324,"3.16","Tech"
44,"2024-03-16","MSFT","966.87",8100,"0.37","Auto"
45,"2024-06-26","GOOG","155.30",9405,"1.62","Retail"
46,"2024-03-17","GOOG","757.03",9611,"2.23","Tech"
47,"2024-03-20","AAPL","756.07",1641,"3.76","Retail"
48,"2024-02-04","MSFT","831.54",10698,"4.04","Tech"
49,"2024-05-19","AAPL","952.16",9883,"3.41","Auto"
50,"2024-04-30","AAPL","905.22",3547,"2.26","Auto"
51,"2024-06-23","MSFT","768.29",7134,"3.90","Retail"
52,"2024-05-27","TSLA","592.97",6176,"-2.23","Tech"
53,"2024-03-18","AAPL","870.19",8374,"-2.90","Tech"
54,"2024-03-29","AAPL","666.63",2118,"2.56","Retail"
55,"2024-04-09","AMZN","578.32",10263,"-4.15","Retail"
56,"2024-02-25","AMZN","334.29",3870,"1.11","Retail"
57,"2024-04-07","TSLA","838.34",1290,"-4.87","Tech"
58,"2024-05-05","AAPL","652.25",7500,"0.11","Retail"
59,"2024-05-14","TSLA","588.89",1835,"4.89","Tech"
60,"2024-06-08","GOOG","427.88",4204,"2.09","Auto"
61,"2024-06-16","MSFT","130.80",7338,"-3.98","Retail"
62,"2024-01-07","GOOG","584.60",10729,"-2.78","Auto"
63,"2024-04-04","AAPL","898.30",6932,"0.34","Tech"
64,"2024-01-17","AAPL","680.71",3256,"1.26","Retail"
65,"2024-01-21","GOOG","720.49",4598,"-1.93","Auto"
66,"2024-01-02","TSLA","347.85",6635,"-1.23","Tech"
67,"2024-01-16","AMZN","724.23",8200,"-4.68","Retail"
68,"2024-03-27","TSLA","569.95",1059,"-2.54","Auto"
69,"2024-02-27","MSFT","124.54",5864,"-0.67","Tech"
70,"2024-02-14","MSFT","476.29",9487,"1.84","Tech"
71,"2024-04-27","AMZN","683.94",10482,"-3.89","Auto"
72,"2024-03-27","TSLA","218.63",9498,"-3.29","Tech"
73,"2024-04-25","MSFT","656.16",5696,"-3.59","Tech"
74,"2024-05-03","AMZN","979.74",7185,"-3.18","Retail"
75,"2024-02-10","AAPL","144.98",1948,"-4.99","Retail"
76,"2024-04-03","AAPL","800.13",1633,"4.92","Auto"
77,"2024-04-09","GOOG","605.14",4816,"3.23","Tech"
78,"2024-02-10","AMZN","926.33",3001,"-2.91","Retail"
79,"2024-04-12","AMZN","384.09",5483,"2.38","Tech"
80,"2024-01-19","MSFT","612.47",1188,"-4.62","Retail"
81,"2024-06-27","TSLA","844.80",10975,"1.25","Retail"
82,"2024-02-20","TSLA","885.12",8697,"3.37","Retail"
83,"2024-04-19","TSLA","897.82",8289,"-3.04","Retail"
84,"2024-06-12","TSLA","101.27",7153,"-4.28","Tech"
85,"2024-04-14","TSLA","409.84",3666,"-4.98","Tech"
86,"2024-04-17","MSFT","189.97",9817,"-4.29","Tech"
87,"2024-02-23","AAPL","164.49",5382,"-2.55","Tech"
88,"2024-04-09","MSFT","183.75",10480,"4.59","Retail"
89,"2024-04-15","AAPL","904.29",10044,"4.74","Tech"
90,"2024-02-27","MSFT","486.38",1604,"-3.89","Auto"
91,"2024-04-12","AAPL","991.92",8227,"3.20","Retail"
92,"2024-04-07","GOOG","521.48",4044,"-0.10","Auto"
93,"2024-03-22","AAPL","126.95",10580,"-4.49","Retail"
94,"2024-01-03","TSLA","465.64",3335,"3.15","Tech"
95,"2024-05-25","MSFT","722.81",7376,"-0.71","Auto"
96,"2024-05-21","AAPL","298.25",4288,"-3.59","Retail"
97,"2024-01-05","TSLA","266.72",6954,"-0.84","Tech"
98,"2024-05-15","AAPL","697.27",7119,"2.48","Retail"
99,"2024-05-03","AAPL","326.95",10617,"1.21","Retail"
100,"2024-04-28","GOOG","980.97",10281,"-2.45","Tech"
101,"2024-06-05","TSLA","244.00",8107,"4.10","Tech"
102,"2024-06-27","MSFT","970.95",4824,"-3.85","Retail"
103,"2024-02-24","AAPL","445.07",1676,"-4.88","Retail"
104,"2024-04-18","AMZN","362.02",6004,"1.22","Retail"
105,"2024-02-26","TSLA","739.85",2797,"-2.03","Auto"
